company_name,company_type,company_city,company_latitude,company_longitude,venue_category,venue_name,venue_distance,venue_latitude,venue_longitude
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,Fellina,88,40.430794,-3.694339
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,D.o.c. Enoteca Italiana,119,40.43104,-3.696685
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,The Luxury Collection,180,40.430948,-3.693279
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,El Mentidero de la Villa,217,40.429156,-3.693881
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,Honky Tonk,220,40.430256,-3.697628
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,Richelieu,226,40.433007,-3.694478
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,Chamberí 5,240,40.432917,-3.697119
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,Bar Mual,246,40.429478,-3.697727
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,Kluster,253,40.431706,-3.698166
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Bar,Bar Perfil,258,40.430676,-3.692321
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Chiquito Riz,57,40.43733,-3.675656
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Intercafe Bar,77,40.437839,-3.676915
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Taberna Degusta,138,40.436866,-3.67723
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Katakana Karaoke Bar,184,40.438724,-3.674149
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Cervecería la Flor Furtiva,187,40.439722,-3.676178
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Bar los Ángeles,192,40.436257,-3.676568
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Kitchen Club,219,40.436959,-3.677803
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,La Tagliatella,265,40.439394,-3.673177
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Salamar,271,40.439803,-3.674
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Bar,Valladares,281,40.435731,-3.675335
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,Gran Meliá,84,40.426464,-3.68935
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,Bar Tomate,97,40.427894,-3.690432
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,99 Sushi Bar,98,40.426434,-3.68875
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,Ten Con Ten,108,40.427815,-3.688551
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,Zuma Madrid,114,40.426315,-3.689566
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,Dry Martini by Javier de las Muelas,130,40.426464,-3.68935
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,Tepic,159,40.427746,-3.687814
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,Coquetto Bar,167,40.428288,-3.690954
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,StreetXO,195,40.427715,-3.687215
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Bar,La castellana,219,40.429283,-3.689401
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,Kandrak,250,40.638632,-3.999482
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,Entre Bambalinas,619,40.636584,-4.005418
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,Burger King,651,40.633256,-4.004292
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,The American Dream,661,40.633346,-4.00462
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,First Stop Neumaticos Mas Baratos,667,40.636267,-4.00594
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,Tradittional Barber Shop,668,40.63257,-4.003815
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,La Rosa,674,40.642833,-3.995721
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,Bar Kubala,676,40.63305,-4.00446
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,Saloon Bar la Frontera,681,40.642758,-3.99583
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Bar,Cafeteria Bar el Mirador,681,40.632308,-4.003671
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Goiko Grill,68,40.423127,-3.682795
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Goizeko Wellington,70,40.422183,-3.684035
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,La Terraza del Hotel Wellington,91,40.421899,-3.683696
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Hotel Wellington,106,40.421776,-3.683752
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Garten True Food,111,40.422503,-3.681833
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,La Llave de Oro,120,40.422221,-3.684172
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Numa Pompilio,123,40.423338,-3.684054
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Kabuki Wellington,124,40.421869,-3.684167
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Ornella,125,40.423414,-3.684052
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Bar,Salutteria,136,40.421924,-3.684604
